"","participant","textbox_comp.text","figure2","Type","type","label2","button_selections_test","textbox_comp_2.text","slider1.response","ss_question","Gender","textboxAge.text"
"1","011780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","011780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","011780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","011780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","011780",3,"resources/real_fg_memory_images/orig8.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"6","011780",3,"resources/real_fg_memory_images/fg19.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"7","011780",4,"resources/real_fg_memory_images/fg30.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"8","011780",3,"resources/real_fg_memory_images/fg20.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"9","011780",2,"resources/real_fg_memory_images/orig17.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"10","011780",3,"resources/real_fg_memory_images/orig6.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"11","011780",4,"resources/real_fg_memory_images/fg31.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"12","011780",5,"resources/real_fg_memory_images/orig18.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"13","011780",4,"resources/real_fg_memory_images/orig3.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"14","011780",3,"resources/real_fg_memory_images/fg26.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"15","011780",4,"resources/real_fg_memory_images/orig15.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"16","011780",2,"resources/real_fg_memory_images/fg23.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"17","011780",4,"resources/real_fg_memory_images/orig16.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"18","011780",5,"resources/real_fg_memory_images/orig4.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"19","011780",6,"resources/real_fg_memory_images/fg36.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
