"","participant","textbox_comp.text","figure2","Type","type","label2","button_selections_test","textbox_comp_2.text","slider1.response","ss_question","Gender","textboxAge.text"
"1","026079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","026079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","026079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","026079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","026079",5,"resources/real_fg_memory_images/orig33.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"6","026079",6,"resources/real_fg_memory_images/orig25.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"7","026079",8,"resources/real_fg_memory_images/fg18.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"8","026079",4,"resources/real_fg_memory_images/fg12.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"9","026079",4,"resources/real_fg_memory_images/orig22.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"10","026079",3,"resources/real_fg_memory_images/orig27.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"11","026079",5,"resources/real_fg_memory_images/fg17.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"12","026079",6,"resources/real_fg_memory_images/orig24.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"13","026079",6,"resources/real_fg_memory_images/orig36.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"14","026079",7,"resources/real_fg_memory_images/orig32.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"15","026079",3,"resources/real_fg_memory_images/fg9.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"16","026079",4,"resources/real_fg_memory_images/fg13.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"17","026079",6,"resources/real_fg_memory_images/orig34.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"18","026079",8,"resources/real_fg_memory_images/orig28.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"19","026079",5,"resources/real_fg_memory_images/fg5.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"20","026079",8,"resources/real_fg_memory_images/orig30.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"21","026079",4,"resources/real_fg_memory_images/fg2.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"22","026079",3,"resources/real_fg_memory_images/fg1.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"23","026079",3,"resources/real_fg_memory_images/fg11.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"24","026079",2,"resources/real_fg_memory_images/fg8.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"25","026079",6,"resources/real_fg_memory_images/orig19.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"26","026079",4,"resources/real_fg_memory_images/orig31.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"27","026079",8,"resources/real_fg_memory_images/fg16.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"28","026079",5,"resources/real_fg_memory_images/orig29.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"29","026079",4,"resources/real_fg_memory_images/fg6.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"30","026079",4,"resources/real_fg_memory_images/fg7.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"31","026079",5,"resources/real_fg_memory_images/orig35.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"32","026079",7,"resources/real_fg_memory_images/fg4.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"33","026079",6,"resources/real_fg_memory_images/orig21.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"34","026079",6,"resources/real_fg_memory_images/orig26.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"35","026079",4,"resources/real_fg_memory_images/fg3.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"36","026079",4,"resources/real_fg_memory_images/fg10.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"37","026079",5,"resources/real_fg_memory_images/fg14.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"38","026079",6,"resources/real_fg_memory_images/fg15.jpg","artificial",NA,NA,NA,NA,NA,NA,NA,NA
"39","026079",6,"resources/real_fg_memory_images/orig23.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"40","026079",3,"resources/real_fg_memory_images/orig20.jpg","real",NA,NA,NA,NA,NA,NA,NA,NA
"41","026079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","026079",NA,"resources/real_fg_memory_images/orig23.jpg",NA,"real","Scam",NA,NA,NA,NA,NA,NA
"43","026079",NA,"resources/real_fg_memory_images/fg3.jpg",NA,"artificial","Scam",NA,NA,NA,NA,NA,NA
"44","026079",NA,"resources/real_fg_memory_images/orig26.jpg",NA,"real","Neutral",NA,NA,NA,NA,NA,NA
