"","participant","figure2","label2","type","total_ss_answer","accurate","agegroup","total_ss_answer_c"
"1","026079","resources/real_fg_memory_images/orig29.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"2","026079","resources/real_fg_memory_images/orig21.jpg","Scam","real",22,0,"Young",-3.63541666666667
"3","026079","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"4","026079","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"5","026079","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"6","026079","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",22,0,"Young",-3.63541666666667
"7","026079","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"8","026079","resources/real_fg_memory_images/orig28.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"9","026079","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"10","026079","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"11","026079","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"12","026079","resources/real_fg_memory_images/orig24.jpg","Scam","real",22,0,"Young",-3.63541666666667
"13","026079","resources/real_fg_memory_images/orig23.jpg","Scam","real",22,0,"Young",-3.63541666666667
"14","026079","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",22,0,"Young",-3.63541666666667
"15","026079","resources/real_fg_memory_images/orig20.jpg","Scam","real",22,0,"Young",-3.63541666666667
"16","026079","resources/real_fg_memory_images/orig22.jpg","Scam","real",22,0,"Young",-3.63541666666667
"17","026079","resources/real_fg_memory_images/orig30.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"18","026079","resources/real_fg_memory_images/orig19.jpg","Scam","real",22,0,"Young",-3.63541666666667
"19","026079","resources/real_fg_memory_images/orig26.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"20","026079","resources/real_fg_memory_images/orig27.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"21","026079","resources/real_fg_memory_images/orig25.jpg","Neutral","real",22,0,"Young",-3.63541666666667
"22","026079","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",22,0,"Young",-3.63541666666667
"23","026079","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"24","026079","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"25","152441","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",22,0,"Young",-3.63541666666667
"26","152441","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"27","152441","resources/real_fg_memory_images/orig20.jpg","Scam","real",22,1,"Young",-3.63541666666667
"28","152441","resources/real_fg_memory_images/orig26.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"29","152441","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"30","152441","resources/real_fg_memory_images/orig25.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"31","152441","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"32","152441","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",22,0,"Young",-3.63541666666667
"33","152441","resources/real_fg_memory_images/orig27.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"34","152441","resources/real_fg_memory_images/orig28.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"35","152441","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",22,1,"Young",-3.63541666666667
"36","152441","resources/real_fg_memory_images/orig19.jpg","Scam","real",22,1,"Young",-3.63541666666667
"37","152441","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",22,0,"Young",-3.63541666666667
"38","152441","resources/real_fg_memory_images/orig30.jpg","Neutral","real",22,1,"Young",-3.63541666666667
"39","152441","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",22,1,"Young",-3.63541666666667
"40","152441","resources/real_fg_memory_images/orig24.jpg","Scam","real",22,1,"Young",-3.63541666666667
