participant,figure2,agegroup,textbox_comp.text,Type,Time,total_ss_answer.x,label2,type,total_ss_answer.y,accurate
007629,resources/real_fg_memory_images/fg11.jpg,Young,5,artificial,Pre,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg11.jpg,Young,0,artificial,Post,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg12.jpg,Young,0,artificial,Post,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg12.jpg,Young,2,artificial,Pre,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg7.jpg,Young,6,artificial,Pre,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg7.jpg,Young,4,artificial,Post,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg9.jpg,Young,4,artificial,Pre,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/fg9.jpg,Young,4,artificial,Post,30,Scam,artificial,30,0
007629,resources/real_fg_memory_images/orig24.jpg,Young,6,real,Pre,30,Neutral,real,30,0
007629,resources/real_fg_memory_images/orig24.jpg,Young,2,real,Post,30,Neutral,real,30,0
011780,resources/real_fg_memory_images/fg19.jpg,Young,3,artificial,Pre,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg19.jpg,Young,3,artificial,Post,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg21.jpg,Young,3,artificial,Pre,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg21.jpg,Young,2,artificial,Post,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg23.jpg,Young,2,artificial,Pre,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg23.jpg,Young,4,artificial,Post,25,Neutral,artificial,25,0
011780,resources/real_fg_memory_images/fg25.jpg,Young,2,artificial,Pre,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/fg25.jpg,Young,3,artificial,Post,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/fg26.jpg,Young,3,artificial,Pre,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/fg26.jpg,Young,3,artificial,Post,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/fg30.jpg,Young,4,artificial,Pre,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/fg30.jpg,Young,3,artificial,Post,25,Scam,artificial,25,0
011780,resources/real_fg_memory_images/orig12.jpg,Young,3,real,Post,25,Scam,real,25,0
011780,resources/real_fg_memory_images/orig12.jpg,Young,5,real,Pre,25,Scam,real,25,0
011780,resources/real_fg_memory_images/orig4.jpg,Young,5,real,Pre,25,Neutral,real,25,0
011780,resources/real_fg_memory_images/orig4.jpg,Young,3,real,Post,25,Neutral,real,25,0
011780,resources/real_fg_memory_images/orig7.jpg,Young,3,real,Pre,25,Scam,real,25,0
011780,resources/real_fg_memory_images/orig7.jpg,Young,4,real,Post,25,Scam,real,25,0
011780,resources/real_fg_memory_images/orig8.jpg,Young,3,real,Pre,25,Scam,real,25,0
011780,resources/real_fg_memory_images/orig8.jpg,Young,2,real,Post,25,Scam,real,25,0
023395,resources/real_fg_memory_images/orig12.jpg,Young,3,real,Pre,25,Neutral,real,25,0
023395,resources/real_fg_memory_images/orig12.jpg,Young,2,real,Post,25,Neutral,real,25,0
026079,resources/real_fg_memory_images/fg10.jpg,Young,4,artificial,Post,22,Neutral,artificial,22,0
026079,resources/real_fg_memory_images/fg10.jpg,Young,4,artificial,Pre,22,Neutral,artificial,22,0
026079,resources/real_fg_memory_images/fg4.jpg,Young,7,artificial,Pre,22,Scam,artificial,22,0
026079,resources/real_fg_memory_images/fg4.jpg,Young,6,artificial,Post,22,Scam,artificial,22,0
026079,resources/real_fg_memory_images/fg7.jpg,Young,2,artificial,Post,22,Neutral,artificial,22,0
