"","participant","figure2","agegroup","textbox_comp.text","Type","Time","total_ss_answer","label2","type","accurate"
"1","007629","resources/real_fg_memory_images/fg1.jpg","Young",3,"artificial","Pre",30,"Neutral","artificial",1
"2","007629","resources/real_fg_memory_images/fg1.jpg","Young",0,"artificial","Post",30,"Neutral","artificial",1
"3","007629","resources/real_fg_memory_images/fg10.jpg","Young",2,"artificial","Pre",30,"Scam","artificial",1
"4","007629","resources/real_fg_memory_images/fg10.jpg","Young",0,"artificial","Post",30,"Scam","artificial",1
"5","007629","resources/real_fg_memory_images/fg11.jpg","Young",5,"artificial","Pre",30,"Scam","artificial",0
"6","007629","resources/real_fg_memory_images/fg11.jpg","Young",0,"artificial","Post",30,"Scam","artificial",0
"7","007629","resources/real_fg_memory_images/fg12.jpg","Young",0,"artificial","Post",30,"Scam","artificial",0
"8","007629","resources/real_fg_memory_images/fg12.jpg","Young",2,"artificial","Pre",30,"Scam","artificial",0
"9","007629","resources/real_fg_memory_images/fg13.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"10","007629","resources/real_fg_memory_images/fg13.jpg","Young",3,"artificial","Pre",30,"None",NA,NA
"11","007629","resources/real_fg_memory_images/fg14.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"12","007629","resources/real_fg_memory_images/fg14.jpg","Young",6,"artificial","Pre",30,"None",NA,NA
"13","007629","resources/real_fg_memory_images/fg15.jpg","Young",4,"artificial","Pre",30,"None",NA,NA
"14","007629","resources/real_fg_memory_images/fg15.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"15","007629","resources/real_fg_memory_images/fg16.jpg","Young",3,"artificial","Pre",30,"None",NA,NA
"16","007629","resources/real_fg_memory_images/fg16.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"17","007629","resources/real_fg_memory_images/fg17.jpg","Young",2,"artificial","Pre",30,"None",NA,NA
"18","007629","resources/real_fg_memory_images/fg17.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"19","007629","resources/real_fg_memory_images/fg18.jpg","Young",0,"artificial","Pre",30,"None",NA,NA
"20","007629","resources/real_fg_memory_images/fg18.jpg","Young",0,"artificial","Post",30,"None",NA,NA
"21","007629","resources/real_fg_memory_images/fg2.jpg","Young",4,"artificial","Post",30,"Neutral","artificial",1
"22","007629","resources/real_fg_memory_images/fg2.jpg","Young",6,"artificial","Pre",30,"Neutral","artificial",1
"23","007629","resources/real_fg_memory_images/fg3.jpg","Young",4,"artificial","Pre",30,"Neutral","artificial",1
"24","007629","resources/real_fg_memory_images/fg3.jpg","Young",6,"artificial","Post",30,"Neutral","artificial",1
"25","007629","resources/real_fg_memory_images/fg4.jpg","Young",0,"artificial","Post",30,"Neutral","artificial",1
"26","007629","resources/real_fg_memory_images/fg4.jpg","Young",4,"artificial","Pre",30,"Neutral","artificial",1
"27","007629","resources/real_fg_memory_images/fg5.jpg","Young",6,"artificial","Post",30,"Neutral","artificial",1
"28","007629","resources/real_fg_memory_images/fg5.jpg","Young",4,"artificial","Pre",30,"Neutral","artificial",1
"29","007629","resources/real_fg_memory_images/fg6.jpg","Young",0,"artificial","Post",30,"Neutral","artificial",1
"30","007629","resources/real_fg_memory_images/fg6.jpg","Young",4,"artificial","Pre",30,"Neutral","artificial",1
"31","007629","resources/real_fg_memory_images/fg7.jpg","Young",6,"artificial","Pre",30,"Scam","artificial",0
"32","007629","resources/real_fg_memory_images/fg7.jpg","Young",4,"artificial","Post",30,"Scam","artificial",0
"33","007629","resources/real_fg_memory_images/fg8.jpg","Young",0,"artificial","Post",30,"Scam","artificial",1
"34","007629","resources/real_fg_memory_images/fg8.jpg","Young",0,"artificial","Pre",30,"Scam","artificial",1
"35","007629","resources/real_fg_memory_images/fg9.jpg","Young",4,"artificial","Pre",30,"Scam","artificial",0
"36","007629","resources/real_fg_memory_images/fg9.jpg","Young",4,"artificial","Post",30,"Scam","artificial",0
"37","007629","resources/real_fg_memory_images/orig19.jpg","Young",8,"real","Pre",30,"Neutral","real",1
"38","007629","resources/real_fg_memory_images/orig19.jpg","Young",6,"real","Post",30,"Neutral","real",1
"39","007629","resources/real_fg_memory_images/orig20.jpg","Young",0,"real","Pre",30,"Neutral","real",1
"40","007629","resources/real_fg_memory_images/orig20.jpg","Young",7,"real","Post",30,"Neutral","real",1
"41","007629","resources/real_fg_memory_images/orig21.jpg","Young",0,"real","Pre",30,"Neutral","real",1
"42","007629","resources/real_fg_memory_images/orig21.jpg","Young",0,"real","Post",30,"Neutral","real",1
"43","007629","resources/real_fg_memory_images/orig22.jpg","Young",4,"real","Pre",30,"Neutral","real",1
"44","007629","resources/real_fg_memory_images/orig22.jpg","Young",7,"real","Post",30,"Neutral","real",1
"45","007629","resources/real_fg_memory_images/orig23.jpg","Young",4,"real","Post",30,"Neutral","real",1
"46","007629","resources/real_fg_memory_images/orig23.jpg","Young",3,"real","Pre",30,"Neutral","real",1
"47","007629","resources/real_fg_memory_images/orig24.jpg","Young",6,"real","Pre",30,"Neutral","real",0
"48","007629","resources/real_fg_memory_images/orig24.jpg","Young",2,"real","Post",30,"Neutral","real",0
