"","participant","label2","Time","Type","textbox_comp.text"
"1","011861","Neutral","Post","artificial",5
"2","011861","Neutral","Post","real",5.66666666666667
"3","011861","Neutral","Pre","artificial",4.83333333333333
"4","011861","Neutral","Pre","real",5.33333333333333
"5","011861","None","Post","artificial",3.5
"6","011861","None","Post","real",5
"7","011861","None","Pre","artificial",5.16666666666667
"8","011861","None","Pre","real",4.83333333333333
"9","011861","Scam","Post","artificial",5.66666666666667
"10","011861","Scam","Post","real",5.5
"11","011861","Scam","Pre","artificial",5.33333333333333
"12","011861","Scam","Pre","real",4.16666666666667
"13","034815","Neutral","Post","artificial",5.33333333333333
"14","034815","Neutral","Post","real",6
"15","034815","Neutral","Pre","artificial",3.66666666666667
"16","034815","Neutral","Pre","real",4.16666666666667
"17","034815","None","Post","artificial",3.66666666666667
"18","034815","None","Post","real",2
"19","034815","None","Pre","artificial",6.5
"20","034815","None","Pre","real",4.5
"21","034815","Scam","Post","artificial",3.33333333333333
"22","034815","Scam","Post","real",1.66666666666667
"23","034815","Scam","Pre","artificial",4.33333333333333
"24","034815","Scam","Pre","real",5.33333333333333
"25","037157","Neutral","Post","artificial",4.5
"26","037157","Neutral","Post","real",6.66666666666667
"27","037157","Neutral","Pre","artificial",6.5
"28","037157","Neutral","Pre","real",6.16666666666667
"29","037157","None","Post","artificial",5.66666666666667
"30","037157","None","Post","real",6.16666666666667
"31","037157","None","Pre","artificial",7
"32","037157","None","Pre","real",6.83333333333333
"33","037157","Scam","Post","artificial",4.33333333333333
"34","037157","Scam","Post","real",4.16666666666667
"35","037157","Scam","Pre","artificial",6.33333333333333
"36","037157","Scam","Pre","real",6
"37","037351","Neutral","Post","artificial",5.33333333333333
"38","037351","Neutral","Post","real",5.16666666666667
"39","037351","Neutral","Pre","artificial",2.66666666666667
"40","037351","Neutral","Pre","real",5.83333333333333
"41","037351","None","Post","artificial",6.33333333333333
"42","037351","None","Post","real",4.5
"43","037351","None","Pre","artificial",6.33333333333333
"44","037351","None","Pre","real",5
"45","037351","Scam","Post","artificial",4.66666666666667
"46","037351","Scam","Post","real",3
"47","037351","Scam","Pre","artificial",3.5
"48","037351","Scam","Pre","real",4.16666666666667
"49","044533","Neutral","Post","artificial",6.16666666666667
"50","044533","Neutral","Post","real",7
"51","044533","Neutral","Pre","artificial",5.5
"52","044533","Neutral","Pre","real",6.33333333333333
"53","044533","None","Post","artificial",7
"54","044533","None","Post","real",7
"55","044533","None","Pre","artificial",6
"56","044533","None","Pre","real",5
"57","044533","Scam","Post","artificial",3.66666666666667
"58","044533","Scam","Post","real",5.66666666666667
"59","044533","Scam","Pre","artificial",4.5
"60","044533","Scam","Pre","real",6.16666666666667
"61","046802","Neutral","Post","artificial",4.83333333333333
"62","046802","Neutral","Post","real",5.16666666666667
"63","046802","Neutral","Pre","artificial",6.33333333333333
"64","046802","Neutral","Pre","real",6.16666666666667
"65","046802","None","Post","artificial",6.66666666666667
"66","046802","None","Post","real",4.83333333333333
"67","046802","None","Pre","artificial",6.5
"68","046802","None","Pre","real",5.16666666666667
"69","046802","Scam","Post","artificial",5.16666666666667
"70","046802","Scam","Post","real",5.5
"71","046802","Scam","Pre","artificial",5.66666666666667
"72","046802","Scam","Pre","real",5.16666666666667
"73","054543","Neutral","Post","artificial",5.33333333333333
"74","054543","Neutral","Post","real",5.5
"75","054543","Neutral","Pre","artificial",5.66666666666667
"76","054543","Neutral","Pre","real",6
"77","054543","None","Post","artificial",6
"78","054543","None","Post","real",6.16666666666667
"79","054543","None","Pre","artificial",5.83333333333333
"80","054543","None","Pre","real",6
"81","054543","Scam","Post","artificial",5
"82","054543","Scam","Post","real",5.83333333333333
"83","054543","Scam","Pre","artificial",5.66666666666667
"84","054543","Scam","Pre","real",5.83333333333333
"85","059179","Neutral","Post","artificial",4.66666666666667
"86","059179","Neutral","Post","real",5.33333333333333
"87","059179","Neutral","Pre","artificial",6.5
"88","059179","Neutral","Pre","real",6.5
"89","059179","None","Post","artificial",4.33333333333333
"90","059179","None","Post","real",6.33333333333333
"91","059179","None","Pre","artificial",6.66666666666667
