"","participant","figure2","label2","textbox_comp_2.text","type","accurate","agegroup"
"1","026079","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"2","026079","resources/real_fg_memory_images/orig21.jpg","Scam",2,"real",0,"Young"
"3","026079","resources/real_fg_memory_images/fg1.jpg","Scam",10,"artificial",1,"Young"
"4","026079","resources/real_fg_memory_images/fg11.jpg","Neutral",3,"artificial",1,"Young"
"5","026079","resources/real_fg_memory_images/fg12.jpg","Neutral",2,"artificial",1,"Young"
"6","026079","resources/real_fg_memory_images/fg4.jpg","Scam",0,"artificial",0,"Young"
"7","026079","resources/real_fg_memory_images/fg5.jpg","Scam",10,"artificial",1,"Young"
"8","026079","resources/real_fg_memory_images/orig28.jpg","Neutral",8,"real",1,"Young"
"9","026079","resources/real_fg_memory_images/fg9.jpg","Neutral",0,"artificial",1,"Young"
"10","026079","resources/real_fg_memory_images/fg3.jpg","Scam",4,"artificial",1,"Young"
"11","026079","resources/real_fg_memory_images/fg6.jpg","Scam",3,"artificial",1,"Young"
"12","026079","resources/real_fg_memory_images/orig24.jpg","Scam",5,"real",0,"Young"
"13","026079","resources/real_fg_memory_images/orig23.jpg","Scam",0,"real",0,"Young"
"14","026079","resources/real_fg_memory_images/fg7.jpg","Neutral",4,"artificial",0,"Young"
"15","026079","resources/real_fg_memory_images/orig20.jpg","Scam",2,"real",0,"Young"
"16","026079","resources/real_fg_memory_images/orig22.jpg","Scam",9,"real",0,"Young"
"17","026079","resources/real_fg_memory_images/orig30.jpg","Neutral",7,"real",1,"Young"
"18","026079","resources/real_fg_memory_images/orig19.jpg","Scam",1,"real",0,"Young"
"19","026079","resources/real_fg_memory_images/orig26.jpg","Neutral",10,"real",1,"Young"
"20","026079","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"21","026079","resources/real_fg_memory_images/orig25.jpg","Neutral",2,"real",0,"Young"
"22","026079","resources/real_fg_memory_images/fg10.jpg","Neutral",0,"artificial",0,"Young"
"23","026079","resources/real_fg_memory_images/fg8.jpg","Neutral",4,"artificial",1,"Young"
