"","participant","label2","Time","Type","textbox_comp.text"
"1","007629","Neutral","Post","artificial",2.66666666666667
"2","007629","Neutral","Post","real",4.33333333333333
"3","007629","Neutral","Pre","artificial",4.16666666666667
"4","007629","Neutral","Pre","real",3.5
"5","007629","None","Post","artificial",0
"6","007629","None","Post","real",1.5
"7","007629","None","Pre","artificial",3
"8","007629","None","Pre","real",3.66666666666667
"9","007629","Scam","Post","artificial",1.33333333333333
"10","007629","Scam","Post","real",0
"11","007629","Scam","Pre","artificial",3.16666666666667
"12","007629","Scam","Pre","real",4.16666666666667
"13","011780","Neutral","Post","artificial",2.83333333333333
"14","011780","Neutral","Post","real",3
"15","011780","Neutral","Pre","artificial",3
"16","011780","Neutral","Pre","real",4
"17","011780","None","Post","artificial",2.83333333333333
"18","011780","None","Post","real",3.66666666666667
"19","011780","None","Pre","artificial",3.5
"20","011780","None","Pre","real",3.83333333333333
"21","011780","Scam","Post","artificial",3.16666666666667
"22","011780","Scam","Post","real",2.83333333333333
"23","011780","Scam","Pre","artificial",4
"24","011780","Scam","Pre","real",3.5
"25","023395","Neutral","Post","artificial",5.5
"26","023395","Neutral","Post","real",4.33333333333333
"27","023395","Neutral","Pre","artificial",3.5
"28","023395","Neutral","Pre","real",4.66666666666667
"29","023395","None","Post","artificial",4.83333333333333
"30","023395","None","Post","real",5
"31","023395","None","Pre","artificial",3.33333333333333
"32","023395","None","Pre","real",7
"33","023395","Scam","Post","artificial",2.5
"34","023395","Scam","Post","real",1.33333333333333
"35","023395","Scam","Pre","artificial",2.5
"36","023395","Scam","Pre","real",4.83333333333333
"37","026079","Neutral","Post","artificial",4
"38","026079","Neutral","Post","real",6.5
"39","026079","Neutral","Pre","artificial",3.33333333333333
"40","026079","Neutral","Pre","real",6
"41","026079","None","Post","artificial",5.5
"42","026079","None","Post","real",5.8
"43","026079","None","Pre","artificial",6
"44","026079","None","Pre","real",5.5
"45","026079","Scam","Post","artificial",3
"46","026079","Scam","Post","real",5.66666666666667
"47","026079","Scam","Pre","artificial",4.5
"48","026079","Scam","Pre","real",5.16666666666667
"49","050143","Neutral","Post","artificial",6.83333333333333
"50","050143","Neutral","Post","real",6.33333333333333
"51","050143","Neutral","Pre","artificial",3
"52","050143","Neutral","Pre","real",2.5
"53","050143","None","Post","artificial",4.83333333333333
"54","050143","None","Post","real",7.5
"55","050143","None","Pre","artificial",2.5
"56","050143","None","Pre","real",5.66666666666667
"57","050143","Scam","Post","artificial",3.66666666666667
"58","050143","Scam","Post","real",3.33333333333333
"59","050143","Scam","Pre","artificial",3.16666666666667
"60","050143","Scam","Pre","real",4
"61","056351","Neutral","Post","artificial",2.16666666666667
"62","056351","Neutral","Post","real",3.83333333333333
"63","056351","Neutral","Pre","artificial",3.5
"64","056351","Neutral","Pre","real",3.5
"65","056351","None","Post","artificial",1.83333333333333
"66","056351","None","Post","real",3.83333333333333
"67","056351","None","Pre","artificial",3
"68","056351","None","Pre","real",3.83333333333333
"69","056351","Scam","Post","artificial",2.5
"70","056351","Scam","Post","real",3.83333333333333
"71","056351","Scam","Pre","artificial",2.83333333333333
"72","056351","Scam","Pre","real",3
"73","089411","Neutral","Post","artificial",5.33333333333333
"74","089411","Neutral","Post","real",4.16666666666667
"75","089411","Neutral","Pre","artificial",4.83333333333333
"76","089411","Neutral","Pre","real",4.66666666666667
"77","089411","None","Post","artificial",5.16666666666667
"78","089411","None","Post","real",4.16666666666667
"79","089411","None","Pre","artificial",6.66666666666667
"80","089411","None","Pre","real",6.33333333333333
"81","089411","Scam","Post","artificial",3.83333333333333
"82","089411","Scam","Post","real",3.33333333333333
"83","089411","Scam","Pre","artificial",5.16666666666667
"84","089411","Scam","Pre","real",7
"85","104690","Neutral","Post","artificial",4.5
"86","104690","Neutral","Post","real",8
"87","104690","Neutral","Pre","artificial",4.83333333333333
"88","104690","Neutral","Pre","real",5.83333333333333
"89","104690","None","Post","artificial",3.16666666666667
"90","104690","None","Post","real",7.66666666666667
"91","104690","None","Pre","artificial",4.16666666666667
"92","104690","None","Pre","real",7.33333333333333
"93","104690","Scam","Post","artificial",3.16666666666667
"94","104690","Scam","Post","real",4
"95","104690","Scam","Pre","artificial",5.16666666666667
"96","104690","Scam","Pre","real",6.33333333333333
"97","123371","Neutral","Post","artificial",3.33333333333333
"98","123371","Neutral","Post","real",4.5
"99","123371","Neutral","Pre","artificial",4.66666666666667
"100","123371","Neutral","Pre","real",5.16666666666667
"101","123371","None","Post","artificial",5
"102","123371","None","Post","real",4.5
"103","123371","None","Pre","artificial",5
"104","123371","None","Pre","real",6.33333333333333
"105","123371","Scam","Post","artificial",3.66666666666667
"106","123371","Scam","Post","real",5.33333333333333
"107","123371","Scam","Pre","artificial",3
"108","123371","Scam","Pre","real",6.66666666666667
"109","129698","Neutral","Post","artificial",3.66666666666667
"110","129698","Neutral","Post","real",7.5
"111","129698","Neutral","Pre","artificial",2.16666666666667
"112","129698","Neutral","Pre","real",5.33333333333333
"113","129698","None","Post","artificial",5.66666666666667
"114","129698","None","Post","real",6.66666666666667
"115","129698","None","Pre","artificial",3.83333333333333
"116","129698","None","Pre","real",6.5
"117","129698","Scam","Post","artificial",4.16666666666667
"118","129698","Scam","Post","real",3.83333333333333
"119","129698","Scam","Pre","artificial",3.66666666666667
"120","129698","Scam","Pre","real",7.33333333333333
"121","142275","Neutral","Post","artificial",5.66666666666667
"122","142275","Neutral","Post","real",6.66666666666667
"123","142275","Neutral","Pre","artificial",6.16666666666667
"124","142275","Neutral","Pre","real",5.16666666666667
"125","142275","None","Post","artificial",5.5
"126","142275","None","Post","real",6.33333333333333
"127","142275","None","Pre","artificial",5.33333333333333
"128","142275","None","Pre","real",6.66666666666667
"129","142275","Scam","Post","artificial",5
"130","142275","Scam","Post","real",3.5
"131","142275","Scam","Pre","artificial",4.5
"132","142275","Scam","Pre","real",5
"133","143839","Neutral","Post","artificial",5
"134","143839","Neutral","Post","real",4.83333333333333
"135","143839","Neutral","Pre","artificial",5.66666666666667
"136","143839","Neutral","Pre","real",5.66666666666667
"137","143839","None","Post","artificial",4.66666666666667
"138","143839","None","Post","real",3
"139","143839","None","Pre","artificial",6.5
